www.test1.com,caption,pencil,python,distribution,feeling,arrogant,goneid,divide and conquer
www.test2.com,encourage,amused,oop,belligerent,unbecoming,agree,howaida,real madrid
www.test3.com,soliman,feeling,crypto,data structures,tray,guttural,paulo coelho,carve
www.test4.com,towering,xavi,economic,marble,PSG,structures,baseball,ronaldo
www.test5.com,amazon,sheet,pigs,sedate,wild,goneid,silky,unbecoming
www.test6.com,barcelona,h,messi,therapeutic,cairo,hooza,data,pollution
www.test7.com,lace,bodda,marble,mercedes,marble,eye,bathe,computer
www.test8.com,data,data structures,file,visual studio,wild,ground,amortized analysis,vectors
www.test9.com,knee,economic,real madrid,spring,data science,distribution,lewd,amused
www.test10.com,c++,news,quicksort,general,lovely,python,madly,lucky
www.test11.com,c++,general,kindhearted,distribution,divide and conquer,seashore,economic,spiders
www.test12.com,wheel,gpa,lettuce,church,h,complexity,football,straw
www.test13.com,burly,covid 19,data,shelf,computer science,ground,oop,necessary
www.test14.com,python,pencil,distribution,feeling,arrogant,goneid,statistical analysis,programming
www.test15.com,amused,oop,probability distribution,unbecoming,agree,python,howaida,real madrid
www.test16.com,soliman,feeling,crypto,data structures,tray,guttural,paulo coelho,carve
www.test17.com,towering,xavi,economic,java,PSG,structures,baseball,ronaldo
www.test18.com,amazon,sheet,data,object-oriented programming,wild,amr goneid,silky,unbecoming
www.test19.com,barcelona,h,lionel messi,therapeutic medicine,cairo,hooza,sheet,pollution
www.test20.com,java,bodda,marble,data,marble,philosophical thinking,bathe,computer
www.test21.com,voiceless,data structures,file,visual studio,wild,ground,dynamic programming,data
www.test22.com,brute-force algorithms,economic,real madrid,hurried,science,telephone,spring,data science
www.test23.com,lewd,amused,history,c++,object-oriented programming,subsequent,general,lovely
www.test24.com,madly,java,history,c++,general,data science,distribution,divide and conquer
www.test25.com,economic,spiders,object-oriented programming,wheel,gpa,lettuce,church,h
www.test26.com,football,object-oriented programming,crypto,burly,succeed,data,shelf,unbecoming
www.test27.com,oop,necessary,department,data,analysis,data,apple,google
www.test28.com,spacex,man utd,premier league,champions league,usa,data structures,united kingdom,china
www.test30.com,bye,hi,masjid,mosques,tahrir square,propositional logic,discrete mathematics,american university in cairo
www.test29.com,france,italy,greece,libya,algeria,syria,hayah,school
